Customer_ID,Total_Orders,Delayed_Orders,Late_Complaints,Contract_Grace_Period,Complaint_Rate_When_Delayed,Tolerance_Score,Base_Max_Safe_Delay_Days,Risk_Profile
B2B-84085,5,0,0,3,0.5,0.5,0,High Risk
B2B-84098,6,1,0,7,0.0,1.0,3,Low Risk
B2B-84142,11,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-84509,11,3,0,3,0.0,1.0,3,Low Risk
B2B-84692,9,2,1,3,0.5,0.5,0,High Risk
B2B-84961,7,2,0,7,0.0,1.0,3,Low Risk
B2B-84982,14,2,0,3,0.0,1.0,3,Low Risk
B2B-85301,7,2,0,7,0.0,1.0,3,Low Risk
B2B-85628,6,1,0,7,0.0,1.0,3,Low Risk
B2B-86006,10,7,2,3,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-86225,9,1,0,3,0.0,1.0,3,Low Risk
B2B-86270,6,2,0,3,0.0,1.0,3,Low Risk
B2B-8641,8,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-86465,13,2,1,7,0.5,0.5,0,High Risk
B2B-86819,7,2,2,3,1.0,0.0,0,High Risk
B2B-86845,9,2,1,3,0.5,0.5,0,High Risk
B2B-87026,10,0,0,3,0.5,0.5,0,High Risk
B2B-8713,12,4,1,3,0.25,0.75,1,Medium Risk
B2B-87571,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-87928,13,3,0,3,0.0,1.0,3,Low Risk
B2B-88226,13,4,4,3,1.0,0.0,0,High Risk
B2B-88360,6,1,0,7,0.0,1.0,3,Low Risk
B2B-88385,8,5,1,3,0.2,0.8,1,Medium Risk
B2B-88506,7,2,0,3,0.0,1.0,3,Low Risk
B2B-8853,4,1,0,7,0.0,1.0,3,Low Risk
B2B-88555,13,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-88726,5,1,0,3,0.0,1.0,3,Low Risk
B2B-88750,13,4,0,7,0.0,1.0,3,Low Risk
B2B-88968,11,5,1,7,0.2,0.8,1,Medium Risk
B2B-88998,10,4,3,3,0.75,0.25,0,High Risk
B2B-89062,12,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-8916,7,2,2,3,1.0,0.0,0,High Risk
B2B-89291,12,6,0,3,0.0,1.0,3,Low Risk
B2B-89419,13,7,1,7,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-89458,11,1,0,7,0.0,1.0,3,Low Risk
B2B-89892,12,4,1,3,0.25,0.75,1,Medium Risk
B2B-89899,10,5,1,3,0.2,0.8,1,Medium Risk
B2B-89921,7,1,0,7,0.0,1.0,3,Low Risk
B2B-90230,12,2,1,7,0.5,0.5,0,High Risk
B2B-90320,7,2,0,7,0.0,1.0,3,Low Risk
B2B-90351,17,3,0,7,0.0,1.0,3,Low Risk
B2B-90471,8,5,2,3,0.4,0.6,0,High Risk
B2B-91091,7,4,3,3,0.75,0.25,0,High Risk
B2B-91425,10,5,0,3,0.0,1.0,3,Low Risk
B2B-916,12,4,0,3,0.0,1.0,3,Low Risk
B2B-91629,16,7,0,3,0.0,1.0,3,Low Risk
B2B-91754,7,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-92314,8,2,2,3,1.0,0.0,0,High Risk
B2B-92368,13,5,1,3,0.2,0.8,1,Medium Risk
B2B-9272,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-93002,10,2,1,3,0.5,0.5,0,High Risk
B2B-93066,2,2,1,3,0.5,0.5,0,High Risk
B2B-93117,12,4,1,3,0.25,0.75,1,Medium Risk
B2B-93157,10,5,0,3,0.0,1.0,3,Low Risk
B2B-93209,7,4,1,3,0.25,0.75,1,Medium Risk
B2B-93543,7,3,0,7,0.0,1.0,3,Low Risk
B2B-9376,9,2,0,3,0.0,1.0,3,Low Risk
B2B-93779,11,5,4,3,0.8,0.19999999999999996,0,High Risk
B2B-93833,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-9412,10,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-95375,11,1,0,3,0.0,1.0,3,Low Risk
B2B-95842,4,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-9589,11,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-96003,5,5,0,3,0.0,1.0,3,Low Risk
B2B-96058,11,4,0,7,0.0,1.0,3,Low Risk
B2B-96173,10,4,0,3,0.0,1.0,3,Low Risk
B2B-96332,7,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-96462,11,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-96594,6,2,0,7,0.0,1.0,3,Low Risk
B2B-97179,16,4,0,3,0.0,1.0,3,Low Risk
B2B-97276,11,6,0,3,0.0,1.0,3,Low Risk
B2B-97673,13,7,4,3,0.5714285714285714,0.4285714285714286,0,High Risk
B2B-97825,15,5,1,3,0.2,0.8,1,Medium Risk
B2B-97922,8,5,2,7,0.4,0.6,0,High Risk
B2B-98544,8,0,0,7,0.5,0.5,0,High Risk
B2B-99045,12,6,0,3,0.0,1.0,3,Low Risk
B2B-99069,9,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-99085,18,7,2,7,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-99105,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-99156,8,2,2,3,1.0,0.0,0,High Risk
B2B-9928,8,1,0,3,0.0,1.0,3,Low Risk
B2B-9933,15,4,0,7,0.0,1.0,3,Low Risk
B2B-99480,17,5,1,3,0.2,0.8,1,Medium Risk
B2B-99501,11,8,0,3,0.0,1.0,3,Low Risk
B2B-99547,9,2,0,3,0.0,1.0,3,Low Risk
B2B-99646,6,2,1,7,0.5,0.5,0,High Risk
B2B-99784,9,5,0,3,0.0,1.0,3,Low Risk
